question,answer,mendableAnswer
How do I import an app file in PerfectApps?," Log on to PerfectApps, go to the Apps Dashboard and click the Import button. Then select the app file you saved locally (.PF) and continue through the import steps.",
How do I create a personal folder in the View Apps section?," Navigate to the Apps Dashboard, and choose View Apps from the tree. In the Dashboard Toolbar, select New > Folder and choose Personal type.",
What steps should I follow to add an e-mail server as an account resource?,"To add an e-mail server as an account resource, go to the Settings Dashboard, click the New button and choose Email Server. On the Email Server details screen, enter a Name for the server under the General section. Choose Basic or Microsoft 365 Exchange Online from the Server Type drop-down. Under the Server section, enter the SMTP address in the Name field. If the server requires secure authentication, check the Requires SSL box then enter the applicable e-mail username and password below. In the User area, enter the Display Name and Email Address that will be shown to the e-mail recipient on the incoming e-mail. In the Reply to area, enter the Display Name and Email Address that will be shown if the recipient chooses to reply to the e-mail message. Refer to the Failed Notifications section for information regarding the miscellaneous resource, you may set it as the default for this account by clicking the Make Default button.",
How can I give a user the ability to use the Archiving function?," To give a user the ability to use the Archiving function, the 'Allow Archiving at User Level' check box must be selected on the Settings page of the Administration Console. Then, the 'Archiving' check box must be selected for the Full User roles on the Settings Dashboard > Users > Users page.",
What are the steps to archive app instances?," Navigate to the Settings Dashboard, expand the Archiving Settings tree node and select New Archive, select one or more apps for instances across all accounts and users in the system to determine which meet the specified criteria, and confirm the action.",
How can I restore or permanently delete archived app instances?,"You can restore or permanently delete archived app instances by navigating to the Settings Dashboard, expanding the Archiving Settings tree node and selecting Archived Instances. From there, you can select one or more apps from the list, filter the results list by selecting a specific app instance status, entering an instance name or narrowing based upon date combinations, and select one or more archived app instances from the results list. To restore, click Restore, and to permanently delete, click Delete.",
What is the purpose of the Layout view in the App Designer?," The Layout view allows users to add, change, or remove visual components of the app by dragging and dropping app objects onto the canvas.",
What does the Toolbox contain in the Behavior view of the App Designer?," The Toolbox contains behavior commands such as Set Field, Print and Submit Data.",
What is the purpose of the Common Toolbox in the App Designer?, The Common Toolbox in the App Designer can be configured to store the objects that you will use most of the time. You can configure a separate common toolbox for both App Layout objects and Behavior commands. You can move items from the Available Items list to the Common Group Items list by selecting them and clicking the Add > button.,
How can one search for toolbox objects in the App Designer?, You can use the Search Tools feature in the toolbox to search for the object that you would like to use. This feature supports short name searches.,
How can you configure the common toolbox in the App Designer?," You can configure the common toolbox by selecting it and clicking the Settings button to open the Common Group Configuration dialogue box. Then, you can move items from the Available Items list to the Common Group Items list by selecting them and clicking the Add > button. You can also remove items from the Common Group Items list by selecting them and clicking the < Remove button. Finally, click the Save button to save your changes.",
How can graphics be added to an app in the App Designer?," To add graphics to an app in the App Designer, select the Assets toolbox, click on the Add Asset button to start the import wizard, click the Select Button, browse to and select the asset you want to add and click the OK button, change the name of the asset if required and then click the OK button.",
What information does the Properties panel display in the App Designer?," The Properties panel displays configuration options available for the app in general or the pages and objects that comprise it. Depending on the view (Layout, Mobile, Behavior, or Workflow) and item selected (app, page, or object), different options will be presented.",
How can one modify app styles in PerfectApps?," To modify app styles, go to App Properties by clicking the navigation arrows in the Properties panel or clicking on the canvas background. Expand the Style section to change settings, such as screen positioning, color, drop shadow, frame, size and page turning effects.",
What are the steps to change the size of an app?," To change an app size, click on the app layout background (area surrounding the page layout) to open the App Properties. In App Properties, expand the Settings section and enter the Width and Height, or choose from one of the pre-defined options in the drop-down.",
Why is setting the App Instance Name important and how can one set it?, Setting the App Instance Name is important because it allows users to easily identify different app instances. The App Instance Name can be set in the App Properties by selecting either Value of a Field (if a single field contains the Instance Name) or by combining fields using the Formula Editor.,
What are the steps to add a new page to your app?," To add a new page to your app, you can select the ""+ Add Page"" button in the App and Page Details section. This will add a new page onto your app.",
How can a specific color or picture be set as a page background?," To set a page background color, select the page in the Navigation Panel and click in the background of the page to open the Page Properties. In Page Properties, expand the Style section and click on a specific color or enter the Hexadecimal color code value. To set a page background graphic, select the page in the Navigation Panel and click in the background of the page to open the Page Properties. In Page Properties, expand the Settings section and select a Picture from the drop-down list. Adjust the picture display to stretch, center or tile.",
How can you undo the deletion of a page in PerfectApps?, You can undo the page deletion by selecting Edit from the Menu bar and choosing Undo Delete.,
How can I set the tab order for objects in the App Designer?," With an app loaded in the App Designer in Layout view, select the object for which you want to control tabbing. The object properties are displayed on the Properties panel. In the Properties panel, expand the Settings section. To set or modify the tab order, enter a number to represent the object order. As a general practice, tab order or movement should go from top left to bottom right. On the menu bar, select File > Preview to test the tab order.",
How do I validate data entry in a field?," You can specify its type and character limit from the Main section of the Properties panel. For more advanced data entry, you can use the Mask Text Input object from the Input Object section of the Toolbox. For full validation control, you should use the Check Mandatory behavior. Go to Adding Behaviors and Checking for Mandatory Fields.",
How can I control the height and maximum number of rows in my table?," You can control the height of the table rows by editing the Row Height property, and you can limit the maximum number of rows that should be fetched from the server by specifying the Max Rows property.",
How can I reorder columns in a table?," On the Table Properties panel under the Columns section, find the column you want to move and click the Move Column Up or Move Column Down arrow buttons.",
How do I adjust the order of layers for multiple objects?," You can adjust the order of the active Layer up or down in the object properties on the Properties panel, then expand the Settings section. Under the Position section.",
How can I align text labels using the 'Snap Text to Neighbor' feature?," To align text labels using Snap Text to Neighbor, select View > Snap Text to Neighbor - On from the menu bar, then move the text label to the nearest associated object.",
What are the different ways to group objects in the platform?," You can group objects by dragging a Group object onto the layout canvas, selecting Group/Ungroup from the right-click context menu, or using the Radio Button Group and Check Box Group options located under the input section in the Toolbox.",
